protein,mean_orig,mean_ko,diff
OBI1,-0.054061804,0.26773217,0.32179397
UBE2Z,0.08844012,0.41027418,0.32183406
KPNA2,-0.07444209,0.2504589,0.32490098
FAHD2A,0.01586409,0.34105435,0.32519025
IL18,-0.000395914,0.3250313,0.32542723
YKT6,0.015135592,0.3408271,0.32569152
SLC9A1,-0.008601814,0.31745526,0.32605708
DHX38,-0.06781764,0.25832376,0.32614142
ATRAID,-0.02128733,0.30491495,0.32620227
MRE11,-0.00349862,0.32272622,0.32622483
SAAL1,-0.052611675,0.27432454,0.32693622
DZIP3,-0.014000849,0.3133634,0.32736427
TBCA,-0.06750102,0.26005203,0.32755303
THTPA,-0.018921549,0.30892476,0.32784632
TBC1D9B,-0.015706528,0.31293705,0.3286436
COPS2,0.02628788,0.3550467,0.3287588
CYFIP2,-0.11087324,0.21818826,0.3290615
